user_id,term_number,hear_about_onlineedu,gender,age,race,hispanic,high_school_grad,ged_received,first_gen_college?,past_college_enrollment,zipcode,city,state,veteran_status,registration_status,Lifetime Credits Completed,Lifetime Credits Attempted,Lifetime GPA
5,4,other,female,46,white,no,yes,no,neither,no,46635,South Bend,IN,not veteran,Add/Drop,9,13,1.5
7,4,facebook,male,39,white,no,yes,no,attended,no,83221,Blackfoot,ID,veteran,Add/Drop,21,33,2.3
8,5,dontknow,female,26,black,no,yes,no,attended,no,97203,Portland,OR,not veteran,Add/Drop,45,45,2.7
28,2,instagram,female,29,mixed,yes,yes,no,attended,no,85381,Peoria,AZ,not veteran,Add/Drop,9,9,4.0
34,6,dontknow,female,23,mixed,yes,yes,no,attended,yes,89149,Las Vegas,NV,not veteran,Add/Drop,47,47,3.4
76,3,facebook,female,23,mixed,no,yes,no,neither,yes,38382,Trenton,TN,not veteran,Add/Drop,18,18,3.7
96,4,instagram,female,25,black,no,yes,no,neither,no,30296,Riverdale,GA,not veteran,Add/Drop,17,29,1.7
115,3,tiktok,female,21,black,no,yes,no,neither,no,30034,Decatur,GA,not veteran,Add/Drop,0,9,0.0
216,4,tiktok,male,20,white,yes,yes,no,neither,yes,84119,West Valley City,UT,not veteran,Add/Drop,53,53,3.1
222,8,dontknow,female,24,mixed,yes,yes,no,attended,yes,01108,Springfield,MA,not veteran,Add/Drop,60,60,3.4
255,5,facebook,female,24,white,no,yes,no,attended,no,04055,Naples,ME,not veteran,Add/Drop,39,43,2.3
271,3,wordOfMouth,female,23,white,no,yes,no,neither,no,77058,Houston,TX,not veteran,Add/Drop,9,21,2.0
273,2,facebook,male,22,mixed,no,yes,no,attended,no,30542,Flowery Branch,GA,not veteran,Add/Drop,0,9,0.0
313,2,facebook,male,26,white,yes,yes,no,attended,yes,32901,Melbourne,FL,not veteran,Add/Drop,1,10,0.0
315,2,internetSearch,female,28,black,yes,yes,no,attended,no,32940,Melbourne,FL,not veteran,Add/Drop,9,9,1.6
323,3,instagram,female,27,black,no,yes,no,attended,no,07305,Jersey City,NJ,not veteran,Add/Drop,9,21,1.5
343,2,instagram,female,28,mixed,no,yes,no,neither,yes,92262,Palm Springs,CA,not veteran,Add/Drop,13,17,2.2
372,2,facebook,female,26,white,no,yes,no,neither,yes,80016,Aurora,CO,not veteran,Add/Drop,5,9,1.7
426,3,instagram,female,26,white,no,yes,no,attended,no,62960,Metropolis,IL,not veteran,Add/Drop,9,9,3.9
522,4,facebook,female,25,white,no,yes,no,attended,no,39474,Prentiss,MS,not veteran,Add/Drop,21,21,2.9
534,3,instagram,female,19,black,no,yes,no,neither,no,93927,Greenfield,CA,not veteran,Add/Drop,13,17,2.1
535,2,tiktok,female,27,white,no,yes,no,attended,yes,49441,Muskegon,MI,not veteran,Add/Drop,13,13,3.0
560,3,other,female,53,white,no,yes,no,neither,yes,45356,Piqua,OH,not veteran,Add/Drop,14,14,3.2
